2020-05-10 20:19:53 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-05-10 20:19:53 status half-configured mawk:armhf 1.3.4.20200120-2
2020-05-10 20:19:54 status installed mawk:armhf 1.3.4.20200120-2
2020-05-10 20:19:54 startup archives install
2020-05-10 20:19:54 install debconf:all <none> 1.5.73
2020-05-10 20:19:54 status half-installed debconf:all 1.5.73
2020-05-10 20:19:54 status unpacked debconf:all 1.5.73
2020-05-10 20:19:54 configure debconf:all 1.5.73 1.5.73
2020-05-10 20:19:54 status half-configured debconf:all 1.5.73
2020-05-10 20:19:54 status installed debconf:all 1.5.73
2020-05-10 20:19:55 startup archives unpack
2020-05-10 20:19:55 upgrade base-files:armhf 11ubuntu5 11ubuntu5
2020-05-10 20:19:55 status half-configured base-files:armhf 11ubuntu5
2020-05-10 20:19:55 status unpacked base-files:armhf 11ubuntu5
2020-05-10 20:19:55 status half-installed base-files:armhf 11ubuntu5
2020-05-10 20:19:55 status unpacked base-files:armhf 11ubuntu5
2020-05-10 20:19:55 upgrade base-passwd:armhf 3.5.47 3.5.47
2020-05-10 20:19:55 status half-configured base-passwd:armhf 3.5.47
2020-05-10 20:19:55 status unpacked base-passwd:armhf 3.5.47
2020-05-10 20:19:55 status half-installed base-passwd:armhf 3.5.47
2020-05-10 20:19:55 status unpacked base-passwd:armhf 3.5.47
2020-05-10 20:19:55 install bash:armhf <none> 5.0-6ubuntu1
2020-05-10 20:19:55 status half-installed bash:armhf 5.0-6ubuntu1
2020-05-10 20:19:55 status unpacked bash:armhf 5.0-6ubuntu1
2020-05-10 20:19:55 install bsdutils:armhf <none> 1:2.34-0.1ubuntu9
2020-05-10 20:19:55 status half-installed bsdutils:armhf 1:2.34-0.1ubuntu9
2020-05-10 20:19:55 status unpacked bsdutils:armhf 1:2.34-0.1ubuntu9
2020-05-10 20:19:55 install coreutils:armhf <none> 8.30-3ubuntu2
2020-05-10 20:19:55 status half-installed coreutils:armhf 8.30-3ubuntu2
2020-05-10 20:19:56 status unpacked coreutils:armhf 8.30-3ubuntu2
2020-05-10 20:19:56 install dash:armhf <none> 0.5.10.2-6
2020-05-10 20:19:56 status half-installed dash:armhf 0.5.10.2-6
2020-05-10 20:19:56 status unpacked dash:armhf 0.5.10.2-6
2020-05-10 20:19:56 upgrade debconf:all 1.5.73 1.5.73
2020-05-10 20:19:56 status half-configured debconf:all 1.5.73
2020-05-10 20:19:56 status unpacked debconf:all 1.5.73
2020-05-10 20:19:56 status half-installed debconf:all 1.5.73
2020-05-10 20:19:56 status unpacked debconf:all 1.5.73
2020-05-10 20:19:56 install debianutils:armhf <none> 4.9.1
2020-05-10 20:19:56 status half-installed debianutils:armhf 4.9.1
2020-05-10 20:19:56 status unpacked debianutils:armhf 4.9.1
2020-05-10 20:19:56 install diffutils:armhf <none> 1:3.7-3
2020-05-10 20:19:56 status half-installed diffutils:armhf 1:3.7-3
2020-05-10 20:19:56 status unpacked diffutils:armhf 1:3.7-3
2020-05-10 20:19:56 upgrade dpkg:armhf 1.19.7ubuntu3 1.19.7ubuntu3
2020-05-10 20:19:56 status half-configured dpkg:armhf 1.19.7ubuntu3
2020-05-10 20:19:56 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-05-10 20:19:56 status half-installed dpkg:armhf 1.19.7ubuntu3
2020-05-10 20:19:57 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-05-10 20:19:57 install e2fsprogs:armhf <none> 1.45.5-2ubuntu1
2020-05-10 20:19:57 status half-installed e2fsprogs:armhf 1.45.5-2ubuntu1
2020-05-10 20:19:57 status unpacked e2fsprogs:armhf 1.45.5-2ubuntu1
2020-05-10 20:19:57 install fdisk:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:19:57 status half-installed fdisk:armhf 2.34-0.1ubuntu9
2020-05-10 20:19:57 status unpacked fdisk:armhf 2.34-0.1ubuntu9
2020-05-10 20:19:57 install findutils:armhf <none> 4.7.0-1ubuntu1
2020-05-10 20:19:57 status half-installed findutils:armhf 4.7.0-1ubuntu1
2020-05-10 20:19:57 status unpacked findutils:armhf 4.7.0-1ubuntu1
2020-05-10 20:19:57 install gcc-10-base:armhf <none> 10-20200411-0ubuntu1
2020-05-10 20:19:57 status half-installed gcc-10-base:armhf 10-20200411-0ubuntu1
2020-05-10 20:19:57 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
2020-05-10 20:19:57 install grep:armhf <none> 3.4-1
2020-05-10 20:19:57 status half-installed grep:armhf 3.4-1
2020-05-10 20:19:57 status unpacked grep:armhf 3.4-1
2020-05-10 20:19:57 install gzip:armhf <none> 1.10-0ubuntu4
2020-05-10 20:19:57 status half-installed gzip:armhf 1.10-0ubuntu4
2020-05-10 20:19:58 status unpacked gzip:armhf 1.10-0ubuntu4
2020-05-10 20:19:58 install hostname:armhf <none> 3.23
2020-05-10 20:19:58 status half-installed hostname:armhf 3.23
2020-05-10 20:19:58 status unpacked hostname:armhf 3.23
2020-05-10 20:19:58 install init-system-helpers:all <none> 1.57
2020-05-10 20:19:58 status half-installed init-system-helpers:all 1.57
2020-05-10 20:19:58 status unpacked init-system-helpers:all 1.57
2020-05-10 20:19:58 install libacl1:armhf <none> 2.2.53-6
2020-05-10 20:19:58 status half-installed libacl1:armhf 2.2.53-6
2020-05-10 20:19:58 status unpacked libacl1:armhf 2.2.53-6
2020-05-10 20:19:58 install libattr1:armhf <none> 1:2.4.48-5
2020-05-10 20:19:58 status half-installed libattr1:armhf 1:2.4.48-5
2020-05-10 20:19:58 status unpacked libattr1:armhf 1:2.4.48-5
2020-05-10 20:19:58 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 install libaudit1:armhf <none> 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 status half-installed libaudit1:armhf 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 status unpacked libaudit1:armhf 1:2.8.5-2ubuntu6
2020-05-10 20:19:58 install libblkid1:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:19:58 status half-installed libblkid1:armhf 2.34-0.1ubuntu9
2020-05-10 20:19:58 status unpacked libblkid1:armhf 2.34-0.1ubuntu9
2020-05-10 20:19:58 install libbz2-1.0:armhf <none> 1.0.8-2
2020-05-10 20:19:58 status half-installed libbz2-1.0:armhf 1.0.8-2
2020-05-10 20:19:58 status unpacked libbz2-1.0:armhf 1.0.8-2
2020-05-10 20:19:58 install libc-bin:armhf <none> 2.31-0ubuntu9
2020-05-10 20:19:58 status half-installed libc-bin:armhf 2.31-0ubuntu9
2020-05-10 20:19:59 status unpacked libc-bin:armhf 2.31-0ubuntu9
2020-05-10 20:19:59 upgrade libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2020-05-10 20:19:59 status half-configured libc6:armhf 2.31-0ubuntu9
2020-05-10 20:19:59 status unpacked libc6:armhf 2.31-0ubuntu9
2020-05-10 20:19:59 status half-installed libc6:armhf 2.31-0ubuntu9
2020-05-10 20:20:00 status unpacked libc6:armhf 2.31-0ubuntu9
2020-05-10 20:20:00 install libcap-ng0:armhf <none> 0.7.9-2.1build1
2020-05-10 20:20:00 status half-installed libcap-ng0:armhf 0.7.9-2.1build1
2020-05-10 20:20:00 status unpacked libcap-ng0:armhf 0.7.9-2.1build1
2020-05-10 20:20:00 install libcom-err2:armhf <none> 1.45.5-2ubuntu1
2020-05-10 20:20:00 status half-installed libcom-err2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:00 status unpacked libcom-err2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:00 install libcrypt1:armhf <none> 1:4.4.10-10ubuntu4
2020-05-10 20:20:00 status half-installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-05-10 20:20:00 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-05-10 20:20:00 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.6ubuntu2
2020-05-10 20:20:00 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-05-10 20:20:00 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-05-10 20:20:00 install libdebconfclient0:armhf <none> 0.251ubuntu1
2020-05-10 20:20:00 status half-installed libdebconfclient0:armhf 0.251ubuntu1
2020-05-10 20:20:00 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2020-05-10 20:20:00 install libext2fs2:armhf <none> 1.45.5-2ubuntu1
2020-05-10 20:20:00 status half-installed libext2fs2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:00 status unpacked libext2fs2:armhf 1.45.5-2ubuntu1
2020-05-10 20:20:00 install libfdisk1:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:20:00 status half-installed libfdisk1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:01 status unpacked libfdisk1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:01 install libgcc-s1:armhf <none> 10-20200411-0ubuntu1
2020-05-10 20:20:01 status half-installed libgcc-s1:armhf 10-20200411-0ubuntu1
2020-05-10 20:20:01 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2020-05-10 20:20:01 install libgcrypt20:armhf <none> 1.8.5-5ubuntu1
2020-05-10 20:20:01 status half-installed libgcrypt20:armhf 1.8.5-5ubuntu1
2020-05-10 20:20:01 status unpacked libgcrypt20:armhf 1.8.5-5ubuntu1
2020-05-10 20:20:01 install libgpg-error0:armhf <none> 1.37-1
2020-05-10 20:20:01 status half-installed libgpg-error0:armhf 1.37-1
2020-05-10 20:20:01 status unpacked libgpg-error0:armhf 1.37-1
2020-05-10 20:20:01 install liblz4-1:armhf <none> 1.9.2-2
2020-05-10 20:20:01 status half-installed liblz4-1:armhf 1.9.2-2
2020-05-10 20:20:01 status unpacked liblz4-1:armhf 1.9.2-2
2020-05-10 20:20:01 install liblzma5:armhf <none> 5.2.4-1
2020-05-10 20:20:01 status half-installed liblzma5:armhf 5.2.4-1
2020-05-10 20:20:01 status unpacked liblzma5:armhf 5.2.4-1
2020-05-10 20:20:01 install libmount1:armhf <none> 2.34-0.1ubuntu9
2020-05-10 20:20:01 status half-installed libmount1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:01 status unpacked libmount1:armhf 2.34-0.1ubuntu9
2020-05-10 20:20:01 install libncurses6:armhf <none> 6.2-0ubuntu2
2020-05-10 20:20:01 status half-installed libncurses6:armhf 6.2-0ubuntu2
2020-05-10 20:20:01 status unpacked libncurses6:armhf 6.2-0ubuntu2
2020-05-10 20:20:01 install libncursesw6:armhf <none> 6.2-0ubuntu2
2020-05-10 20:20:01 status half-installed libncursesw6:armhf 6.2-0ubuntu2
2020-05-10 20:20:01 status unpacked libncursesw6:armhf 6.2-0ubuntu2
2020-05-10 20:20:01 install libpam-modules:armhf <none> 1.3.1-5ubuntu4
2020-05-10 20:20:01 status half-installed libpam-modules:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 status unpacked libpam-modules:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu4
2020-05-10 20:20:02 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-05-10 20:20:02 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-05-10 20:20:02 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-05-10 20:20:02 install libpam0g:armhf <none> 1.3.1-5ubuntu4
2020-05-10 20:20:02 status half-installed libpam0g:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 status unpacked libpam0g:armhf 1.3.1-5ubuntu4
2020-05-10 20:20:02 install libpcre2-8-0:armhf <none> 10.34-7
2020-05-10 20:20:02 status half-installed libpcre2-8-0:armhf 10.34-7
2020-05-10 20:20:02 status unpacked libpcre2-8-0:armhf 10.34-7
2020-05-10 20:20:02 install libpcre3:armhf <none> 2:8.39-12build1
2020-05-10 20:20:02 status half-installed libpcre3:armhf 2:8.39-12build1
2020-05-10 20:20:02 status unpacked libpcre3:armhf 2:8.39-12build1
2020-05-10 20:20:02 install libprocps8:armhf <none> 2:3.3.16-1ubuntu2
2020-05-10 20:20:02 status half-installed libprocps8:armhf 2:3.3.16-1ubuntu2
2020-05-10 20:20:02 status unpacked libprocps8:armhf 2:3.3.16-1ubuntu2
2020-05-10 20:20:02 install libselinux1:armhf <none> 3.0-1build2
2020-05-10 20:20:02 status half-installed libselinux1:armhf 3.0-1build2
